ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,pctOfFloat,pctOfStock,stkShares,isEnd,pctOfNav
165520,信诚有色指数,80066470,中信保诚基金,80001122,中国银行,'H30031,800有色,2021-01-01,{'30559527': '黄稚'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,Unlisted,未上市,--,1.408,人民币,-3.62,4.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.24,--,--,--,--,--,False,--
515700,平安新能源车,80168726,平安基金,80000012,招商证券,'930997,新能源车,2019-12-31,{'30138974': '钱晶'},2019-12-31,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,55.65,2.2346,人民币,-4.21,4.78,14.5,54.6,84.88,145.21,12.08,113.96,--,--,--,--,1.82,1.36,1.19,1.32,--,--,--,--,--,--,1.29,--,--,0.06,--,--,--,--,--,False,--
501057,添富能源指数A,80053708,汇添富,80001067,工商银行,'930997,新能源车,2018-05-23,{'30347260': '过蓓蓓'},2018-05-23,Stock,股票,Index,传统指数型,LOF,LOF,Domestic,投资境内,SHSE,上交所上市,58.82,2.2943,人民币,-3.97,4.78,13.77,50.59,80.21,139.51,11.82,112.33,73.51,--,--,--,1.71,1.29,1.13,1.11,1.24,--,--,--,--,--,1.18,--,--,0.2,--,--,--,--,--,False,--
163114,申万环保指数(LOF)A,80045188,申万菱信,80001120,农业银行,'000827,中证环保,2020-10-23,{'30444835': '王赟杰'},2020-10-23,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,3.32,1.2881,人民币,-3.7,5.73,12.61,34.06,--,--,11.91,--,--,--,--,--,1.44,--,--,--,--,--,--,--,--,--,1.43,--,--,0.16,--,--,--,--,--,False,--
512580,广发环保ETF,80000248,广发基金,80001122,中国银行,'000827,中证环保,2017-01-25,{'30488589': '霍华明'},2017-01-25,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,21.74,1.3326,人民币,-3.99,5.79,12.52,34.27,49.23,83.31,11.85,68.04,43.46,12.01,--,--,1.55,1.29,1.08,1.15,1.1,1.16,--,--,--,--,1.08,--,--,0.04,--,--,--,--,--,False,--
164304,新华环保分级,80000249,新华基金,80001068,建设银行,'000827,中证环保,2014-09-11,{'30130519': '邓岳'},2014-09-11,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,0.96,1.2198,人民币,-3.82,5.61,12.38,31.97,46.81,78.74,11.79,64.25,39.72,7.81,6.97,--,1.49,1.24,1.03,1.09,1.08,1.14,1.07,--,--,--,1.09,--,1.14,0.15,--,1.07,--,--,--,False,--
001064,广发环保联接A,80000248,广发基金,80001122,中国银行,'000827,中证环保,2015-03-25,{'30488589': '霍华明'},2015-03-25,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,17.81,0.9706,人民币,-3.77,5.51,11.94,32.15,46.01,77.63,11.21,63.74,40.9,10.07,9.42,--,1.47,1.22,1.02,1.08,1.04,1.1,1.04,--,--,--,1.08,--,1.12,0.13,--,1.03,--,--,--,False,--
160634,鹏华环保指数,80000230,鹏华基金,80001068,建设银行,'000827,中证环保,2021-01-01,{'30585899': '闫冬'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,Unlisted,未上市,--,1.255,人民币,-3.68,5.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.44,--,--,--,--,--,False,--
161031,富国工业40指数,80000221,富国基金,80001067,工商银行,'399803,工业4.0,2021-01-01,{'30072302': '张圣贤'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,18.72,1.118,人民币,-5.25,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.1,--,--,--,--,--,False,--
159909,招商深TMT,80036782,招商基金,80001122,中国银行,'399610,TMT50,2011-06-27,{'30470772': '苏燕青'},2011-06-27,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,2.59,7.6328,人民币,-4.66,-0.19,14.45,16.72,19.24,52.44,10.7,40.61,54.03,13.67,11.68,--,1.15,1.17,1.19,1.29,1.69,1.57,1.37,--,--,--,1.17,--,1.27,0.05,--,1.37,--,--,--,False,--
